#       r             R(r)          X(r)=rR(r)          Veff
  9.025013e+00   2.021089e-02   1.824036e-01  -1.970516e-01
  9.115716e+00   1.950889e-02   1.778375e-01  -1.953328e-01
  9.207331e+00   1.882269e-02   1.733067e-01  -1.936263e-01
  9.299866e+00   1.815226e-02   1.688136e-01  -1.919321e-01
  9.393331e+00   1.749758e-02   1.643606e-01  -1.902502e-01
  9.487736e+00   1.685859e-02   1.599499e-01  -1.885805e-01
  9.583089e+00   1.623523e-02   1.555837e-01  -1.869229e-01
  9.679401e+00   1.562743e-02   1.512642e-01  -1.852775e-01
  9.776680e+00   1.503511e-02   1.469935e-01  -1.836443e-01
  9.874938e+00   1.445817e-02   1.427735e-01  -1.820231e-01
  9.974182e+00   1.389650e-02   1.386062e-01  -1.804140e-01
  1.007442e+01   1.335000e-02   1.344935e-01  -1.788169e-01
  1.017567e+01   1.281852e-02   1.304371e-01  -1.772318e-01
  1.027794e+01   1.230195e-02   1.264387e-01  -1.756586e-01
  1.038124e+01   1.180012e-02   1.224999e-01  -1.740972e-01
  1.048557e+01   1.131290e-02   1.186222e-01  -1.725478e-01
  1.059095e+01   1.084010e-02   1.148070e-01  -1.710101e-01
  1.069739e+01   1.038157e-02   1.110557e-01  -1.694842e-01
  1.080490e+01   9.937117e-03   1.073696e-01  -1.679699e-01
  1.091349e+01   9.506553e-03   1.037497e-01  -1.664674e-01
  1.102318e+01   9.089684e-03   1.001972e-01  -1.649764e-01
  1.113396e+01   8.686306e-03   9.671300e-02  -1.634970e-01
  1.124586e+01   8.296209e-03   9.329800e-02  -1.620291e-01
  1.135888e+01   7.919177e-03   8.995300e-02  -1.605727e-01
  1.147304e+01   7.554988e-03   8.667868e-02  -1.591277e-01
  1.158835e+01   7.203413e-03   8.347565e-02  -1.576940e-01
  1.170481e+01   6.864221e-03   8.034442e-02  -1.562716e-01
  1.182245e+01   6.537174e-03   7.728539e-02  -1.548605e-01
  1.194126e+01   6.222030e-03   7.429890e-02  -1.534606e-01
  1.206128e+01   5.918543e-03   7.138518e-02  -1.520718e-01
  1.218249e+01   5.626465e-03   6.854438e-02  -1.506941e-01
  1.230493e+01   5.345544e-03   6.577655e-02  -1.493274e-01
  1.242860e+01   5.075525e-03   6.308166e-02  -1.479717e-01
  1.255351e+01   4.816152e-03   6.045960e-02  -1.466269e-01
  1.267967e+01   4.567166e-03   5.791016e-02  -1.452930e-01
  1.280710e+01   4.328307e-03   5.543308e-02  -1.439698e-01
  1.293582e+01   4.099314e-03   5.302798e-02  -1.426574e-01
  1.306582e+01   3.879926e-03   5.069443e-02  -1.413557e-01
  1.319714e+01   3.669881e-03   4.843193e-02  -1.400646e-01
  1.332977e+01   3.468917e-03   4.623988e-02  -1.387841e-01
  1.346374e+01   3.276774e-03   4.411762e-02  -1.375140e-01
  1.359905e+01   3.093190e-03   4.206445e-02  -1.362544e-01
  1.373572e+01   2.917907e-03   4.007956e-02  -1.350052e-01
  1.387377e+01   2.750667e-03   3.816212e-02  -1.337663e-01
  1.401320e+01   2.591214e-03   3.631121e-02  -1.325377e-01
  1.415404e+01   2.439295e-03   3.452587e-02  -1.313192e-01
  1.429629e+01   2.294658e-03   3.280509e-02  -1.301109e-01
  1.443997e+01   2.157055e-03   3.114780e-02  -1.289127e-01
  1.458509e+01   2.026240e-03   2.955290e-02  -1.277245e-01
  1.473168e+01   1.901970e-03   2.801921e-02  -1.265462e-01
  1.487973e+01   1.784008e-03   2.654556e-02  -1.253779e-01
  1.502928e+01   1.672117e-03   2.513071e-02  -1.242193e-01
  1.518032e+01   1.566067e-03   2.377340e-02  -1.230705e-01
  1.533289e+01   1.465630e-03   2.247233e-02  -1.219315e-01
  1.548699e+01   1.370582e-03   2.122619e-02  -1.208020e-01
  1.564263e+01   1.280707e-03   2.003363e-02  -1.196822e-01
  1.579984e+01   1.195790e-03   1.889329e-02  -1.185718e-01
