#       r             V(r)
  1.64502475e-03  -1.21578723e+03
  1.66155712e-03  -1.20369019e+03
  1.67825643e-03  -1.19171301e+03
  1.69512280e-03  -1.17985547e+03
  1.71215937e-03  -1.16811560e+03
  1.72936649e-03  -1.15649292e+03
  1.74674729e-03  -1.14498535e+03
  1.76430191e-03  -1.13359277e+03
  1.78203394e-03  -1.12231311e+03
  1.79994316e-03  -1.11114624e+03
  1.81803340e-03  -1.10008984e+03
  1.83630444e-03  -1.08914404e+03
  1.85475999e-03  -1.07830664e+03
  1.87340018e-03  -1.06757751e+03
  1.89222861e-03  -1.05695471e+03
  1.91124540e-03  -1.04643811e+03
  1.93045416e-03  -1.03602563e+03
  1.94985501e-03  -1.02571729e+03
  1.96945178e-03  -1.01551105e+03
  1.98924472e-03  -1.00540674e+03
  2.00923742e-03  -9.95402527e+02
  2.02943105e-03  -9.85497864e+02
  2.04982655e-03  -9.75692322e+02
  2.07042811e-03  -9.65983826e+02
  2.09123595e-03  -9.56372253e+02
  2.11225357e-03  -9.46856018e+02
  2.13348167e-03  -9.37434814e+02
  2.15492398e-03  -9.28106995e+02
  2.17658072e-03  -9.18872437e+02
  2.19845632e-03  -9.09729248e+02
  2.22055055e-03  -9.00677551e+02
  2.24286783e-03  -8.91715515e+02
  2.26540864e-03  -8.82842957e+02
  2.28817691e-03  -8.74058289e+02
  2.31117290e-03  -8.65361511e+02
  2.33440101e-03  -8.56750854e+02
  2.35786149e-03  -8.48226257e+02
  2.38155900e-03  -8.39786011e+02
  2.40549352e-03  -8.31430237e+02
  2.42966972e-03  -8.23157166e+02
  2.45408760e-03  -8.14966858e+02
  2.47875229e-03  -8.06857544e+02
  2.50366353e-03  -7.98829407e+02
  2.52882624e-03  -7.90880737e+02
  2.55424064e-03  -7.83011597e+02
  2.57991184e-03  -7.75220276e+02
  2.60584103e-03  -7.67506531e+02
  2.63202959e-03  -7.59869873e+02
  2.65848241e-03  -7.52308899e+02
  2.68519996e-03  -7.44823486e+02
  2.71218736e-03  -7.37412170e+02
  2.73944461e-03  -7.30075012e+02
  2.76697706e-03  -7.22810486e+02
  2.79478496e-03  -7.15618591e+02
  2.82287365e-03  -7.08497864e+02
  2.85124336e-03  -7.01448364e+02
  2.87989946e-03  -6.94468689e+02
  2.90884217e-03  -6.87558777e+02
  2.93807732e-03  -6.80717285e+02
  2.96760467e-03  -6.73944214e+02
  2.99743027e-03  -6.67238220e+02
  3.02755414e-03  -6.60599243e+02
  3.05798231e-03  -6.54026001e+02
  3.08871479e-03  -6.47518494e+02
  3.11975763e-03  -6.41075439e+02
  3.15111084e-03  -6.34696838e+02
  3.18278070e-03  -6.28381348e+02
  3.21476744e-03  -6.22128967e+02
  3.24707711e-03  -6.15938538e+02
  3.27970996e-03  -6.09809998e+02
  3.31267249e-03  -6.03742126e+02
  3.34596448e-03  -5.97734985e+02
  3.37959267e-03  -5.91787292e+02
  3.41355894e-03  -5.85898804e+02
  3.44786490e-03  -5.80069153e+02
  3.48251732e-03  -5.74297241e+02
  3.51751642e-03  -5.68583008e+02
  3.55286896e-03  -5.62925354e+02
  3.58857494e-03  -5.57324280e+02
  3.62464157e-03  -5.51778687e+02
  3.66106885e-03  -5.46288574e+02
  3.69786401e-03  -5.40852783e+02
